iter	Passed	Remaining
673	3084	1492
674	3089	1487
675	3093	1482
676	3098	1478
677	3102	1473
678	3107	1468
679	3111	1464
680	3115	1459
681	3120	1454
682	3124	1450
683	3128	1445
684	3133	1440
685	3137	1436
686	3141	1431
687	3146	1426
688	3150	1422
689	3155	1417
690	3159	1412
691	3163	1408
692	3167	1403
693	3172	1398
694	3176	1394
695	3181	1389
696	3185	1384
697	3190	1380
698	3194	1375
699	3198	1370
700	3203	1366
701	3207	1361
702	3212	1357
703	3216	1352
704	3220	1347
705	3224	1342
706	3228	1338
707	3233	1333
708	3237	1328
709	3241	1324
710	3245	1319
711	3250	1314
712	3254	1309
713	3258	1305
714	3262	1300
715	3267	1296
716	3272	1291
717	3276	1286
718	3279	1281
719	3284	1277
720	3288	1272
721	3292	1267
722	3296	1263
723	3300	1258
724	3304	1253
725	3308	1248
726	3313	1244
727	3317	1239
728	3321	1234
729	3326	1230
730	3330	1225
731	3334	1220
732	3338	1216
733	3343	1211
734	3347	1206
735	3351	1202
736	3355	1197
737	3358	1192
738	3363	1187
739	3367	1183
740	3372	1178
741	3376	1174
742	3380	1169
743	3384	1164
744	3388	1159
745	3393	1155
746	3396	1150
747	3401	1145
748	3405	1141
749	3410	1136
750	3414	1131
751	3418	1127
752	3422	1122
753	3426	1117
754	3430	1113
755	3435	1108
756	3440	1104
757	3444	1099
758	3449	1095
759	3453	1090
760	3458	1086
761	3462	1081
762	3467	1076
763	3471	1072
764	3475	1067
765	3480	1063
766	3484	1058
767	3488	1053
768	3493	1049
769	3497	1044
770	3501	1040
771	3506	1035
772	3509	1030
773	3514	1026
774	3518	1021
775	3522	1016
776	3527	1012
777	3531	1007
778	3535	1003
779	3539	998
780	3543	993
781	3548	989
782	3552	984
783	3556	979
784	3561	975
785	3565	970
786	3569	966
787	3573	961
788	3578	956
789	3582	952
790	3586	947
791	3590	942
792	3594	938
793	3598	933
794	3601	928
795	3605	924
796	3610	919
797	3614	914
798	3618	910
799	3622	905
800	3626	900
801	3630	896
802	3634	891
803	3638	887
804	3643	882
805	3647	877
806	3652	873
807	3656	868
808	3660	864
809	3665	859
810	3669	855
811	3674	850
812	3677	845
813	3682	841
814	3685	836
815	3689	832
816	3693	827
817	3697	822
818	3702	818
819	3706	813
820	3710	809
821	3715	804
822	3719	799
823	3723	795
824	3727	790
825	3732	786
826	3736	781
827	3740	777
828	3744	772
829	3748	767
830	3752	763
831	3756	758
832	3760	753
833	3765	749
834	3769	744
835	3774	740
836	3778	735
837	3782	731
838	3786	726
839	3790	722
840	3795	717
841	3799	712
842	3803	708
843	3806	703
844	3810	699
845	3814	694
846	3818	689
847	3822	685
848	3826	680
849	3830	676
850	3834	671
851	3838	666
852	3842	662
853	3846	657
854	3850	653
855	3854	648
856	3859	643
857	3863	639
858	3867	634
859	3871	630
860	3876	625
861	3880	621
862	3885	616
863	3889	612
864	3892	607
865	3897	603
866	3901	598
867	3905	593
868	3909	589
869	3913	584
870	3917	580
871	3921	575
872	3925	571
873	3929	566
874	3934	562
875	3938	557
876	3943	553
877	3947	548
878	3951	543
879	3955	539
880	3959	534
881	3963	530
882	3968	525
883	3972	521
884	3975	516
885	3979	512
886	3983	507
887	3987	502
888	3992	498
889	3996	493
890	4001	489
891	4005	485
892	4009	480
893	4014	475
894	4018	471
895	4023	466
896	4027	462
897	4031	457
898	4035	453
899	4039	448
900	4043	444
901	4047	439
902	4052	435
903	4057	430
904	4061	426
905	4065	421
